y0_true,y1_true,y0_pred,y1_pred,g_fuzzy_oracle,g_fuzzy_pred,dg_oracle,dg_pred,g_oracle,g_pred,dg_abs_err,g_abs_err
40.25532,42.713318,43.055573,44.52674,80.97189491566868,76.87415162843985,-4.173149975278605,7.132378919092133,80.97189491566868,76.87415162843985,11.305528894370738,4.0977432872288375
41.778378,39.844788,39.886124,41.93882,71.75298746852259,80.35748017687963,-9.218907447146094,3.4833285484397862,71.75298746852259,80.35748017687963,12.70223599558588,8.604492708357043
40.095608,41.256104,39.404945,42.41468,78.84827906094138,81.21596217131767,7.095291592418789,0.8584819944380371,78.84827906094138,81.21596217131767,6.236809597980752,2.3676831103762908
41.23547,42.94628,39.67107,41.81259,78.44601577816691,80.13036338497204,-0.4022632827744701,-1.0855987863456278,78.44601577816691,80.13036338497204,0.6833355035711577,1.684347606805133
39.34685,46.108883,40.538338,42.565247,86.02560487255947,79.85289725898008,7.57958909439256,-0.27746612599196396,86.02560487255947,79.85289725898008,7.857055220384524,6.172707613579391
35.779377,43.611553,38.509148,44.349773,83.40143406658845,84.78114890852214,-2.624170805971019,4.928251649542062,83.40143406658845,84.78114890852214,7.5524224555130814,1.3797148419336906
39.09936,45.98776,37.814835,44.584084,86.02560487255947,85.22596087555391,2.624170805971019,0.44481196703176806,86.02560487255947,85.22596087555391,2.179358838939251,0.7996439970055604
40.21791,46.87354,40.159912,45.36151,85.3365693799622,85.51827103346972,-0.6890354925972701,0.29231015791580717,85.3365693799622,85.51827103346972,0.9813456505130773,0.18170165350751688
44.56476,48.246586,40.36081,45.1406,74.2456420458098,84.89357099039805,-11.090927334152397,-0.6247000430716696,74.2456420458098,84.89357099039805,10.466227291080727,10.647928944588244
45.406105,52.0897,43.700123,48.873566,72.54189647273651,76.11803440299423,-1.7037455730732916,-8.77553658740382,72.54189647273651,76.11803440299423,7.071791014330529,3.5761379302577154
41.238956,53.361496,46.802654,51.991856,82.31366975721394,69.87221417021148,9.771773284477433,-6.245820232782748,82.31366975721394,69.87221417021148,16.01759351726018,12.441455587002466
42.42262,57.060413,44.444725,53.214363,79.16839996333539,74.4971825843968,-3.1452697938785548,4.624968414185318,79.16839996333539,74.4971825843968,7.770238208063873,4.671217378938593
41.207214,60.729782,42.646408,57.09597,81.71187806474316,78.61030107581564,2.5434781014077714,4.113118491418845,81.71187806474316,78.61030107581564,1.5696403900110738,3.101576988927519
42.530376,58.489395,41.214714,59.484993,78.56784560087958,81.64178954468035,-3.1440324638635815,3.0314884688647084,78.56784560087958,81.64178954468035,6.17552093272829,3.0739439438007707
42.970005,61.522385,43.230537,58.98597,77.01332844702637,76.87986815951523,-1.5545171538532117,-4.761921385165124,77.01332844702637,76.87986815951523,3.207404231311912,0.13346028751114147
39.390488,58.45821,44.245823,61.39398,85.84359693043638,74.43613918578917,8.83026848341001,-2.443728973726053,85.84359693043638,74.43613918578917,11.273997457136062,11.407457744647203
39.129658,59.391132,41.66457,58.856827,85.78710780259546,80.56030448385461,-0.056489127840919195,6.124165298065435,85.78710780259546,80.56030448385461,6.180654425906354,5.226803318740849
39.217667,62.8572,40.067352,60.254124,87.6886891983217,85.6102259633399,1.9015813957262395,5.049921479485292,87.6886891983217,85.6102259633399,3.1483400837590523,2.078463234981797
36.883205,62.24382,39.279266,62.98327,87.172344869028,87.80355337314936,-0.5163443292937018,2.1933274098094557,87.172344869028,87.80355337314936,2.7096717391031575,0.6312085041213606
41.031612,64.28618,38.125465,61.314053,83.98344855319628,86.50591882329796,-3.1888963158317125,-1.297634549851395,83.98344855319628,86.50591882329796,1.8912617659803175,2.522470270101678
41.47629,57.712692,40.515385,61.416126,81.38144110872167,84.43559852237716,-2.6020074444746086,-2.070320300920798,81.38144110872167,84.43559852237716,0.5316871435538104,3.0541574136554885
39.651608,58.909176,41.963245,56.61218,85.81663515009241,80.34859912938414,4.435194041370735,-4.086999392993022,85.81663515009241,80.34859912938414,8.522193434363757,5.4680360207082686
39.032677,61.491585,41.56107,58.84458,86.62367667801574,80.84361363079888,0.8070415279233316,0.4950145014147438,86.62367667801574,80.84361363079888,0.3120270265085878,5.780063047216856
