gen,idx,fitness,val_scaled_mse,y0_r2,y1_r2,avg_r2,train_time_s,lookback,target_smooth_window,freq_minutes,batch_size,lr,weight_decay,grad_clip,hidden_size,num_layers,dropout,fc_size
1,14,0.4761602636327081,0.4761602636327081,0.683943669613833,0.7769418648399598,0.7304427672268964,1.6229729652404785,36,12,5,256,0.0001257646125588466,0.0,0.6608569781609974,64,2,0.3344888891481403,32
1,15,0.32535792672060393,0.32535792672060393,0.7950667960147069,0.8378043257587455,0.8164355608867262,2.523601531982422,72,12,5,256,0.001868426394677217,0.0,1.4414436387203893,64,1,0.16806477184919122,64
1,16,0.4812853244022629,0.4812853244022629,0.7479329256951671,0.7473578135806649,0.747645369637916,7.89853310585022,72,6,5,128,0.0001607869928374808,4.139347327126983e-05,1.4940276233045158,256,2,0.3344888891481403,32
1,17,0.48962329258428555,0.48962329258428555,0.7380424142550034,0.7479029932143701,0.7429727037346867,7.975415229797363,144,6,5,64,0.0018704814707313866,0.0,0.062059997761424235,256,1,0.3348629873849146,64
1,18,0.30459680021765395,0.30459680021765395,0.81272325552791,0.8440916228052321,0.828407439166571,9.475950956344604,144,12,5,64,0.0003567106690649258,5.4254126473815405e-06,0.9245204237022315,128,2,0.3423071254949373,32
1,19,0.5284853681862275,0.5284853681862275,0.7227186997255977,0.7230210280558961,0.7228698638907469,3.582886219024658,144,6,5,256,0.00013215981766219066,4.9622743503278753e-05,0.6327396919534543,128,1,0.3348629873849146,64
1,20,0.36727154573654747,0.36727154573654747,0.773670047801099,0.812471452240627,0.793070750020863,3.7156388759613037,72,12,5,256,0.001868426394677217,0.0,1.9069994953070055,32,2,0.24430285401447394,32
1,21,0.502428948640505,0.502428948640505,0.729664440967564,0.7426700523973537,0.7361672466824589,3.8040506839752197,144,6,5,64,0.0018704814707313866,3.5117174970833993e-06,0.6327396919534543,128,1,0.3348629873849146,64
1,22,0.34998355192296643,0.34998355192296643,0.7773583821116606,0.8274773561984798,0.8024178691550703,2.6223137378692627,72,12,5,256,0.00013215981766219066,4.9622743503278753e-05,0.6327396919534543,128,1,0.3348629873849146,64
1,23,0.5351505865242198,0.5351505865242198,0.720754633028498,0.7181617346686332,0.7194581838485656,6.703677177429199,72,6,5,64,0.00019076652820351235,0.0,0.1169665840145988,32,2,0.02858263645374154,128
1,24,0.5050055754678112,0.5050055754678112,0.7286109336887059,0.74105376997461,0.734832351831658,3.205723762512207,144,6,5,256,0.0008668419606834459,5.4254126473815405e-06,0.9245204237022315,128,1,0.19238365583725003,128
2,0,0.28862432490058126,0.28862432490058126,0.8231366802223455,0.8517411499558567,0.8374389150891011,9.79532527923584,144,12,5,64,0.0003567106690649258,5.4254126473815405e-06,0.9245204237022315,128,2,0.3423071254949373,32
2,1,0.3510682659353164,0.3510682659353164,0.7935893645704495,0.8119327131285561,0.8027610388495028,4.044339418411255,72,12,5,64,0.002625348363594733,5.4254126473815405e-06,0.9245204237022315,128,1,0.3423071254949373,32
2,2,0.3251282493060923,0.3251282493060923,0.7986812360815866,0.8348409294977487,0.8167610827896676,4.166514158248901,72,12,5,256,0.001868426394677217,0.0,1.4414436387203893,64,1,0.16806477184919122,32
2,3,0.32771386947223846,0.32771386947223846,0.7998124900016881,0.8311038006901196,0.8154581453459038,2.4593911170959473,72,12,5,256,0.001868426394677217,0.0,1.4414436387203893,64,1,0.05577608679793822,32
2,4,0.35136956199605196,0.35136956199605196,0.7807100100367074,0.8230389270846938,0.8018744685607007,3.0475504398345947,72,12,5,256,0.002625348363594733,0.0,0.3716499219614464,32,2,0.20188777565913874,128
2,5,0.31607105642716515,0.31607105642716515,0.8055047607679551,0.8383637309650451,0.8219342458665001,3.269953727722168,72,12,5,256,0.001868426394677217,0.0,1.4414436387203893,128,2,0.05577608679793822,64
2,6,0.31200408935546875,0.31200408935546875,0.8095576770653716,0.8390683236553587,0.8243130003603651,3.9324395656585693,72,12,5,256,0.001868426394677217,9.267545994071867e-06,1.4414436387203893,128,2,0.05577608679793822,64
2,7,0.3348768229153067,0.3348768229153067,0.8012552906453884,0.8222509369321751,0.8117531137887817,3.804417371749878,144,12,5,64,0.002625348363594733,5.4254126473815405e-06,0.9245204237022315,128,1,0.3423071254949373,32
2,8,0.4216396234889719,0.4216396234889719,0.7326020825479744,0.791420720877364,0.7620114017126692,9.065621852874756,36,12,5,64,0.0001257646125588466,0.0,0.6608569781609974,32,2,0.24430285401447394,32
2,9,0.3577677349355769,0.3577677349355769,0.7807130440731108,0.8162717755407772,0.798492409806944,2.5855712890625,72,12,5,64,0.002625348363594733,5.4254126473815405e-06,0.9245204237022315,128,1,0.0641957322498814,64
2,10,0.30068678524404924,0.30068678524404924,0.8206486309690811,0.8411951871289362,0.8309219090490086,5.151687145233154,36,12,5,64,0.0003567106690649258,5.4254126473815405e-06,0.9245204237022315,128,2,0.3423071254949373,32
2,11,0.32936589858111215,0.32936589858111215,0.7972724414465764,0.8316103683588606,0.8144414049027184,2.170004367828369,72,12,5,256,0.001868426394677217,0.0,1.4414436387203893,64,1,0.16806477184919122,64
2,12,0.3425908114183395,0.3425908114183395,0.7970343925607833,0.8178395407117414,0.8074369666362624,2.169240713119507,72,12,5,256,0.001868426394677217,0.0,1.9069994953070055,32,2,0.16806477184919122,64
2,13,0.583411007641471,0.583411007641471,0.6197521952968434,0.7204930036280659,0.6701225994624547,1.4531028270721436,72,12,5,256,0.0001257646125588466,0.0,0.6608569781609974,64,1,0.3344888891481403,32
2,14,0.32599772489007145,0.32599772489007145,0.8025218452980895,0.8305148283707057,0.8165183368343976,1.8004121780395508,72,12,5,256,0.001868426394677217,0.0,1.4414436387203893,64,2,0.03421037359077572,32
2,15,0.35239946268459055,0.35239946268459055,0.7862715824869171,0.8170166357774639,0.8016441091321904,6.0708911418914795,72,12,5,64,0.001868426394677217,0.0,1.4414436387203893,128,2,0.05577608679793822,32
2,16,0.30172545897131936,0.30172545897131936,0.8150984746893694,0.8450204004003047,0.830059437544837,2.251396894454956,72,12,5,256,0.001868426394677217,0.0005053918926300472,1.4414436387203893,128,1,0.3348629873849146,64
2,17,0.44023862668127817,0.44023862668127817,0.7703302798636292,0.7681028568083819,0.7692165683360055,7.597245693206787,72,6,5,128,0.000393296836715776,0.0003846073761565384,0.49731266784057127,256,2,0.07009114854738724,32
